Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 18:05,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.129555,-0.10741,0.085876,0.006122,-0.113146,0.087667,0.067838,-0.110278,0.086772,0.039432,-0.158389,0.143464,0.072753,-0.160371,0.143449,0.042415,-0.161493,0.096943,0.069246,-0.163031,0.096252
1,0.1,0.129458,-0.107051,0.086007,0.0058,-0.114486,0.087535,0.067629,-0.110769,0.086771,0.039293,-0.158374,0.143958,0.072649,-0.160307,0.143479,0.042322,-0.161407,0.096965,0.06911,-0.164013,0.096197
2,0.2,0.129561,-0.107848,0.08595,0.005735,-0.115615,0.087499,0.067648,-0.111732,0.086725,0.038866,-0.158263,0.144463,0.072704,-0.160285,0.143529,0.042387,-0.161416,0.097009,0.069219,-0.162953,0.096331
3,0.3,0.129449,-0.106705,0.086035,0.006011,-0.11353,0.087646,0.06773,-0.110118,0.086841,0.039328,-0.158482,0.144432,0.07272,-0.160338,0.143474,0.042383,-0.161459,0.096967,0.069136,-0.164122,0.096667
4,0.4,0.129425,-0.106828,0.086054,0.005753,-0.114843,0.087496,0.067589,-0.110835,0.086775,0.038891,-0.158247,0.143945,0.072692,-0.160348,0.143469,0.042457,-0.160428,0.097042,0.069144,-0.164062,0.096187
5,0.5,0.129504,-0.106747,0.086043,0.006027,-0.113836,0.087611,0.067766,-0.110292,0.086827,0.039318,-0.159413,0.143993,0.072785,-0.160274,0.143486,0.042454,-0.161405,0.096975,0.069656,-0.16423,0.096688
6,0.6,0.129488,-0.107225,0.085913,0.005785,-0.114612,0.087473,0.067637,-0.110919,0.086693,0.039302,-0.158495,0.144384,0.072694,-0.160355,0.143428,0.042361,-0.161453,0.096918,0.069149,-0.164054,0.096145
7,0.7,0.12951,-0.107077,0.086029,0.005964,-0.113776,0.087634,0.067737,-0.110427,0.086831,0.039366,-0.158342,0.144003,0.072722,-0.160259,0.143528,0.0424,-0.161388,0.097012,0.069226,-0.163917,0.095772
8,0.8,0.129508,-0.106959,0.085982,0.005974,-0.114152,0.087585,0.067741,-0.110556,0.086784,0.03943,-0.158418,0.143977,0.072787,-0.160324,0.143494,0.042555,-0.160436,0.097065,0.069244,-0.164053,0.096213
9,0.9,0.129479,-0.106274,0.086184,0.006085,-0.113439,0.087676,0.067782,-0.109856,0.08693,0.03938,-0.158396,0.144464,0.072772,-0.160242,0.14351,0.042442,-0.161377,0.096999,0.069232,-0.163966,0.096229
10,1,0.129502,-0.107324,0.085891,0.005741,-0.114836,0.087458,0.067621,-0.11108,0.086675,0.039371,-0.158382,0.143442,0.072691,-0.160376,0.143425,0.04235,-0.161481,0.09692,0.069585,-0.164258,0.096153
11,1.1,0.129474,-0.107341,0.086026,0.006002,-0.113214,0.087697,0.067738,-0.110278,0.086862,0.038844,-0.158177,0.143958,0.072609,-0.161357,0.143513,0.042317,-0.161379,0.096975,0.068658,-0.16381,0.096196
12,1.2,0.129445,-0.10712,0.085992,0.005866,-0.114055,0.087546,0.067656,-0.110588,0.086769,0.039422,-0.157358,0.143893,0.072667,-0.160339,0.143427,0.042323,-0.161431,0.096923,0.069558,-0.164214,0.096154
13,1.3,0.129446,-0.106884,0.086009,0.005921,-0.1149,0.087553,0.067683,-0.110892,0.086781,0.039367,-0.158446,0.143965,0.072724,-0.16036,0.143485,0.042395,-0.161497,0.096973,0.069184,-0.164088,0.096204
14,1.4,0.129561,-0.107024,0.086028,0.005987,-0.114017,0.087637,0.067774,-0.11052,0.086833,0.039447,-0.1583,0.144,0.072804,-0.160212,0.143515,0.042469,-0.161338,0.097007,0.069706,-0.164102,0.096243
15,1.5,0.12946,-0.106976,0.086057,0.005933,-0.113839,0.087605,0.067697,-0.110408,0.086831,0.038889,-0.158236,0.143936,0.072691,-0.160332,0.143465,0.042362,-0.161442,0.096953,0.069115,-0.164106,0.096657
16,1.6,0.129537,-0.107466,0.085972,0.005633,-0.11552,0.087395,0.067585,-0.111493,0.086684,0.038921,-0.158235,0.143949,0.072723,-0.160321,0.14348,0.042398,-0.161449,0.096966,0.069635,-0.164213,0.096208
17,1.7,0.129489,-0.107052,0.086032,0.005924,-0.113943,0.087618,0.067707,-0.110497,0.086825,0.038334,-0.159036,0.143993,0.072224,-0.160151,0.143965,0.042474,-0.160347,0.097077,0.069162,-0.163974,0.096231
18,1.8,0.129406,-0.106878,0.08588,0.00579,-0.114434,0.087492,0.067598,-0.110656,0.086686,0.038824,-0.1584,0.144304,0.072227,-0.159267,0.143767,0.042406,-0.160497,0.096927,0.069055,-0.164207,0.096533
19,1.9,0.129434,-0.106946,0.085977,0.005831,-0.114231,0.087573,0.067632,-0.110588,0.086775,0.038817,-0.158322,0.144415,0.072186,-0.159236,0.144362,0.042294,-0.161539,0.097442,0.069126,-0.163082,0.096751
20,2,0.129479,-0.106323,0.086169,0.005807,-0.115046,0.087472,0.067643,-0.110685,0.086821,0.037788,-0.160076,0.144969,0.071875,-0.158998,0.144395,0.042413,-0.161485,0.097488,0.069239,-0.164007,0.096236
21,2.1,0.129426,-0.106646,0.086087,0.005965,-0.113605,0.087654,0.067696,-0.110125,0.086871,0.037656,-0.160064,0.144965,0.07171,-0.159069,0.144853,0.042283,-0.161475,0.097484,0.069072,-0.164077,0.096708
22,2.2,0.129456,-0.106603,0.085999,0.006002,-0.113648,0.087685,0.067729,-0.110125,0.086842,0.037758,-0.160079,0.144961,0.071415,-0.157825,0.144806,0.04248,-0.16046,0.09756,0.069169,-0.164082,0.096701
23,2.3,0.129506,-0.107423,0.085997,0.00579,-0.114921,0.087456,0.067648,-0.111172,0.086727,0.037067,-0.161153,0.145899,0.070892,-0.157801,0.145225,0.042423,-0.160535,0.097529,0.069111,-0.164165,0.09667
24,2.4,0.129515,-0.107044,0.086026,0.005859,-0.11448,0.087542,0.067687,-0.110762,0.086784,0.036592,-0.161918,0.14542,0.070909,-0.15782,0.145661,0.042472,-0.16048,0.097506,0.069567,-0.165334,0.096571
25,2.5,0.129466,-0.107005,0.085945,0.005835,-0.114385,0.087568,0.06765,-0.110695,0.086756,0.03654,-0.161889,0.145449,0.070427,-0.157638,0.145676,0.042314,-0.161488,0.097455,0.06906,-0.165148,0.096587
26,2.6,0.129491,-0.107338,0.085966,0.00591,-0.114146,0.087533,0.067701,-0.110742,0.086749,0.036553,-0.161974,0.145388,0.070403,-0.157778,0.14608,0.042435,-0.160532,0.097475,0.06908,-0.165217,0.09653
27,2.7,0.129445,-0.106782,0.086031,0.005788,-0.114918,0.087507,0.067616,-0.11085,0.086769,0.036592,-0.161959,0.145433,0.07001,-0.157593,0.146103,0.042459,-0.160534,0.097517,0.069062,-0.166272,0.096482
28,2.8,0.129466,-0.106826,0.085999,0.005809,-0.114678,0.087484,0.067638,-0.110752,0.086742,0.036308,-0.159828,0.146279,0.070053,-0.156514,0.146043,0.042434,-0.160587,0.097963,0.069081,-0.165266,0.09701
29,2.9,0.129496,-0.106822,0.086038,0.005906,-0.114404,0.087567,0.067701,-0.110613,0.086803,0.036295,-0.159752,0.146349,0.07004,-0.156436,0.146124,0.041815,-0.162335,0.097385,0.069078,-0.166181,0.096532
30,3,0.129467,-0.107192,0.085987,0.005745,-0.114718,0.087486,0.067606,-0.110955,0.086736,0.036233,-0.159808,0.14631,0.069512,-0.156397,0.146533,0.042373,-0.160568,0.097996,0.069055,-0.165187,0.096575
31,3.1,0.129541,-0.107708,0.08591,0.005907,-0.114249,0.087528,0.067724,-0.110979,0.086719,0.03628,-0.159841,0.146273,0.069559,-0.156429,0.14649,0.041854,-0.161456,0.097869,0.068644,-0.165043,0.096522
32,3.2,0.129495,-0.106676,0.086096,0.006076,-0.113301,0.08767,0.067786,-0.109989,0.086883,0.036303,-0.159777,0.146294,0.06915,-0.156192,0.146504,0.041881,-0.161385,0.09789,0.068629,-0.166022,0.096461
33,3.3,0.129392,-0.106647,0.08598,0.005713,-0.11483,0.087493,0.067553,-0.110739,0.086736,0.036175,-0.159778,0.146305,0.06899,-0.15628,0.146969,0.041748,-0.16139,0.0979,0.068905,-0.166288,0.096955
34,3.4,0.12949,-0.107281,0.086039,0.005933,-0.113991,0.087601,0.067712,-0.110636,0.08682,0.03624,-0.15979,0.146333,0.068542,-0.157247,0.147487,0.041822,-0.161411,0.09793,0.068612,-0.165002,0.096588
35,3.5,0.129567,-0.107335,0.085946,0.005945,-0.114319,0.087592,0.067756,-0.110827,0.086769,0.036367,-0.159777,0.146348,0.068235,-0.157052,0.147478,0.04193,-0.161408,0.097943,0.068678,-0.166043,0.096508
36,3.6,0.129557,-0.107713,0.085935,0.005942,-0.11389,0.08764,0.06775,-0.110801,0.086787,0.036299,-0.159794,0.146327,0.068213,-0.155993,0.147439,0.041887,-0.161414,0.097925,0.069126,-0.165166,0.096594
37,3.7,0.129533,-0.107357,0.085984,0.005818,-0.114808,0.087452,0.067675,-0.111083,0.086718,0.036273,-0.15976,0.146293,0.067721,-0.155866,0.147851,0.041955,-0.16033,0.097969,0.069012,-0.166243,0.096946
38,3.8,0.129471,-0.106883,0.086102,0.005997,-0.113468,0.087719,0.067734,-0.110175,0.08691,,,,0.067638,-0.156932,0.148443,0.041865,-0.16132,0.097983,0.068656,-0.164901,0.096646
39,3.9,0.129536,-0.107544,0.086013,0.005865,-0.114092,0.087594,0.067701,-0.110818,0.086803,,,,0.067586,-0.156953,0.14841,0.041803,-0.161311,0.097952,0.068556,-0.164972,0.097085
40,4,0.129448,-0.106561,0.086098,0.005846,-0.114185,0.087538,0.067647,-0.110373,0.086818,,,,0.067641,-0.155963,0.148312,0.041905,-0.160355,0.097973,0.068547,-0.166037,0.096464
41,4.1,0.129411,-0.106633,0.08595,0.005682,-0.115239,0.087411,0.067546,-0.110936,0.08668,,,,0.067238,-0.155831,0.148256,0.041922,-0.160391,0.097932,0.069013,-0.166247,0.096426
42,4.2,0.129419,-0.106455,0.086053,0.005861,-0.11416,0.087546,0.06764,-0.110307,0.0868,,,,0.067247,-0.154726,0.148258,0.041795,-0.161391,0.097883,0.068548,-0.165052,0.097013
43,4.3,0.129535,-0.10736,0.085927,0.006092,-0.113472,0.087628,0.067814,-0.110416,0.086777,,,,0.067299,-0.155767,0.148314,0.041893,-0.161386,0.097907,0.068684,-0.164967,0.09656
44,4.4,0.129489,-0.107003,0.086067,0.005806,-0.114812,0.087512,0.067647,-0.110908,0.08679,,,,0.066888,-0.154486,0.148315,0.041872,-0.161349,0.097951,0.068627,-0.164998,0.097084
45,4.5,0.12961,-0.108068,0.085815,0.005825,-0.114716,0.087468,0.067718,-0.111392,0.086642,,,,0.066797,-0.155695,0.148739,0.041814,-0.161476,0.098369,0.068604,-0.165063,0.097012
46,4.6,0.12938,-0.106152,0.086118,0.00604,-0.113312,0.087659,0.06771,-0.109732,0.086888,,,,0.066825,-0.15464,0.148698,0.041789,-0.161487,0.098366,0.068613,-0.165014,0.096532
47,4.7,0.129386,-0.10656,0.086014,0.005973,-0.11373,0.08757,0.06768,-0.110145,0.086792,,,,0.06642,-0.15342,0.148641,0.041778,-0.161502,0.098348,0.069017,-0.165265,0.097005
48,4.8,0.129482,-0.106756,0.086006,0.005914,-0.11434,0.087564,0.067698,-0.110548,0.086785,,,,0.066381,-0.155596,0.149186,0.04197,-0.160451,0.098443,0.068615,-0.166118,0.096926
49,4.9,0.129492,-0.107178,0.085899,0.006041,-0.113499,0.087623,0.067767,-0.110339,0.086761,,,,0.065942,-0.15438,0.14913,0.041807,-0.161501,0.098358,0.068596,-0.165089,0.097001
50,5,0.129494,-0.107173,0.086047,0.005969,-0.113769,0.087675,0.067732,-0.110471,0.086861,,,,0.065945,-0.154292,0.149207,0.041262,-0.16228,0.098343,0.068611,-0.165013,0.09708
51,5.1,0.129437,-0.106962,0.086022,0.00568,-0.115172,0.087427,0.067559,-0.111067,0.086725,,,,0.065433,-0.154193,0.149613,0.041877,-0.160381,0.098464,0.068563,-0.165003,0.097036
52,5.2,0.129421,-0.107077,0.085939,0.00584,-0.11428,0.08753,0.06763,-0.110679,0.086735,,,,0.065421,-0.154274,0.149594,0.041758,-0.1615,0.09837,0.068504,-0.166147,0.096937
53,5.3,0.129537,-0.107971,0.085884,0.005777,-0.114687,0.087503,0.067657,-0.111329,0.086693,,,,0.065455,-0.154243,0.149633,0.041235,-0.162333,0.098321,0.068091,-0.165945,0.096966
54,5.4,0.129582,-0.107416,0.085927,0.006154,-0.113211,0.087685,0.067868,-0.110313,0.086806,,,,0.065534,-0.15425,0.149632,0.04142,-0.16133,0.098401,0.069078,-0.165323,0.097545
55,5.5,0.129495,-0.106789,0.086067,0.005968,-0.113632,0.087668,0.067731,-0.11021,0.086867,,,,0.065885,-0.154273,0.149226,0.04125,-0.161738,0.098402,0.068545,-0.164995,0.0971
56,5.6,0.129503,-0.107376,0.085937,0.006016,-0.113536,0.087613,0.06776,-0.110456,0.086775,,,,0.065919,-0.154363,0.149133,0.041336,-0.161296,0.098346,0.069028,-0.165238,0.097012
57,5.7,0.129551,-0.107253,0.085957,0.005886,-0.11435,0.08754,0.067718,-0.110802,0.086748,,,,0.066426,-0.154499,0.149163,0.041965,-0.160439,0.09846,0.068206,-0.164876,0.097017
58,5.8,0.129326,-0.106319,0.086061,0.005692,-0.115126,0.087434,0.067509,-0.110722,0.086748,,,,0.066324,-0.154523,0.148663,0.04172,-0.161518,0.098336,0.068508,-0.165119,0.096979
59,5.9,0.12944,-0.106932,0.085987,0.005681,-0.115597,0.087349,0.06756,-0.111265,0.086668,,,,0.066857,-0.15459,0.148243,0.041929,-0.160409,0.097964,0.068536,-0.166151,0.096929
60,6,0.12949,-0.107094,0.086079,0.00617,-0.112665,0.087763,0.06783,-0.10988,0.086921,,,,0.067216,-0.155741,0.148388,0.041882,-0.160846,0.098011,0.068542,-0.166068,0.09703
61,6.1,0.129386,-0.106733,0.086049,0.005819,-0.114424,0.087553,0.067603,-0.110579,0.086801,0.063658,-0.156471,0.147436,0.067622,-0.15591,0.14791,0.041759,-0.161422,0.097948,0.068469,-0.166138,0.097002
62,6.2,0.129472,-0.106862,0.086049,0.006004,-0.113746,0.087634,0.067738,-0.110304,0.086842,0.063767,-0.156432,0.14744,0.068116,-0.157108,0.147959,0.041971,-0.160361,0.098031,0.069066,-0.166201,0.096538
63,6.3,0.129432,-0.106579,0.086116,0.005854,-0.114275,0.087569,0.067643,-0.110427,0.086843,0.06372,-0.156453,0.147414,0.068104,-0.157068,0.147474,0.041818,-0.161393,0.097926,0.068607,-0.164985,0.096583
64,6.4,0.129497,-0.107537,0.085949,0.00591,-0.114208,0.087572,0.067703,-0.110872,0.086761,0.063745,-0.156498,0.147394,0.068562,-0.157281,0.147462,0.041835,-0.161452,0.09791,0.068624,-0.165039,0.096564
65,6.5,0.129535,-0.107237,0.086017,0.005946,-0.114119,0.08761,0.067741,-0.110678,0.086813,0.063799,-0.156475,0.147415,0.068616,-0.157256,0.147483,0.041896,-0.161443,0.097929,0.068644,-0.166075,0.096503
66,6.6,0.129499,-0.107118,0.086035,0.006047,-0.113543,0.087697,0.067773,-0.11033,0.086866,0.063749,-0.15642,0.147448,0.068601,-0.157138,0.147059,0.041854,-0.161379,0.097959,0.068602,-0.166017,0.096537
67,6.7,0.128604,-0.09921,0.08667,0.005855,-0.114116,0.087581,0.067229,-0.106663,0.087126,0.063676,-0.156495,0.147379,0.069004,-0.156311,0.146964,0.042321,-0.160579,0.097983,0.068553,-0.165032,0.096547
68,6.8,0.129525,-0.107309,0.085983,0.005946,-0.114054,0.087613,0.067736,-0.110681,0.086798,0.063782,-0.156455,0.14742,0.069576,-0.156373,0.146555,0.042423,-0.160562,0.098028,0.068613,-0.166056,0.096507
69,6.9,0.12947,-0.10642,0.086051,0.005862,-0.114616,0.0875,0.067666,-0.110518,0.086775,0.036183,-0.160841,0.14633,0.069969,-0.157618,0.146558,0.042469,-0.160491,0.097503,0.069116,-0.165168,0.096559
70,7,0.129503,-0.106859,0.086052,0.00593,-0.114244,0.087596,0.067717,-0.110552,0.086824,0.036625,-0.160982,0.146424,0.069996,-0.15751,0.146194,0.042379,-0.161507,0.09751,0.069129,-0.165144,0.096657
71,7.1,0.129457,-0.107107,0.086084,0.005772,-0.114597,0.087534,0.067614,-0.110852,0.086809,0.03653,-0.160974,0.146373,0.070336,-0.157693,0.146152,0.042382,-0.160446,0.097539,0.068992,-0.165199,0.097077
72,7.2,0.129485,-0.10738,0.08599,0.005807,-0.114575,0.087509,0.067646,-0.110978,0.08675,0.03637,-0.163041,0.145923,0.070409,-0.157678,0.145648,0.042403,-0.160485,0.097503,0.069089,-0.164121,0.09664
73,7.3,0.129576,-0.107374,0.086012,0.005888,-0.114349,0.087558,0.067732,-0.110861,0.086785,0.036423,-0.163004,0.14597,0.070892,-0.157797,0.145706,0.042458,-0.160457,0.09755,0.069146,-0.164084,0.09669
74,7.4,0.129541,-0.107561,0.085931,0.00601,-0.113619,0.087636,0.067776,-0.11059,0.086784,0.037096,-0.161055,0.145406,0.070851,-0.157839,0.145666,0.042414,-0.160484,0.097511,0.069059,-0.165173,0.096566
75,7.5,0.129535,-0.107565,0.085879,0.00583,-0.114714,0.087482,0.067682,-0.111139,0.086681,0.036444,-0.162941,0.145462,0.070873,-0.158815,0.145246,0.042341,-0.161484,0.09744,0.06913,-0.164082,0.096659
76,7.6,0.129484,-0.107023,0.08601,0.005945,-0.11403,0.087595,0.067715,-0.110527,0.086802,0.037102,-0.161997,0.144492,0.071328,-0.159036,0.145249,0.042353,-0.161558,0.09744,0.06959,-0.164325,0.096665
77,7.7,0.129524,-0.10747,0.086005,0.005775,-0.114907,0.0875,0.067649,-0.111188,0.086753,0.037708,-0.16012,0.144927,0.071293,-0.15901,0.145264,0.042434,-0.160495,0.097526,0.069123,-0.164121,0.096669
78,7.8,0.129472,-0.10701,0.08593,0.005874,-0.114447,0.08746,0.067673,-0.110729,0.086695,0.037663,-0.160266,0.145339,0.071753,-0.159199,0.144745,0.042316,-0.161599,0.097382,0.069141,-0.164131,0.096126
79,7.9,0.129504,-0.107589,0.085968,0.005807,-0.114529,0.087499,0.067655,-0.111059,0.086734,0.038103,-0.160297,0.144918,0.071745,-0.159069,0.144329,0.042374,-0.160494,0.097507,0.069061,-0.164131,0.096645
80,8,0.129518,-0.107,0.08604,0.005916,-0.114014,0.087613,0.067717,-0.110507,0.086827,0.038842,-0.158353,0.144906,0.07221,-0.16027,0.144405,0.042351,-0.1615,0.09746,0.069177,-0.164026,0.09621
81,8.1,0.12942,-0.1061,0.086205,0.005914,-0.114115,0.08764,0.067667,-0.110107,0.086922,0.037756,-0.159956,0.144547,0.072206,-0.160197,0.144486,0.042383,-0.161377,0.097059,0.06962,-0.164146,0.096302
82,8.2,0.129518,-0.107281,0.086048,0.005699,-0.115246,0.087435,0.067609,-0.111264,0.086741,0.038784,-0.158374,0.144911,0.072187,-0.160236,0.143951,0.042398,-0.160495,0.097546,0.069121,-0.16406,0.096217
83,8.3,0.129586,-0.107539,0.085936,0.005858,-0.114902,0.087512,0.067722,-0.111221,0.086724,0.038782,-0.159465,0.144942,0.072297,-0.160267,0.143941,0.042626,-0.159462,0.097148,0.06962,-0.165343,0.096136
84,8.4,0.129519,-0.106943,0.086081,0.005852,-0.114692,0.087529,0.067685,-0.110818,0.086805,0.039216,-0.159425,0.144527,0.072684,-0.160297,0.144013,0.042394,-0.161358,0.097037,0.069106,-0.165075,0.096661
85,8.5,0.129398,-0.106176,0.086075,0.005869,-0.114195,0.08757,0.067634,-0.110186,0.086823,0.038841,-0.1583,0.144398,0.072643,-0.160397,0.143912,0.042344,-0.16144,0.096942,0.068649,-0.163933,0.096633
86,8.6,0.129431,-0.107048,0.08602,0.006084,-0.113001,0.087726,0.067758,-0.110025,0.086873,0.038641,-0.160306,0.143998,0.072197,-0.160211,0.143925,0.042332,-0.161426,0.096964,0.069567,-0.164203,0.096201
87,8.7,0.129439,-0.106824,0.086028,0.005939,-0.113666,0.08765,0.067689,-0.110245,0.086839,0.038691,-0.159339,0.144438,0.072605,-0.160394,0.143929,0.042309,-0.161436,0.096956,0.069544,-0.164214,0.096195
88,8.8,0.129432,-0.106382,0.086063,0.005975,-0.11394,0.08756,0.067703,-0.110161,0.086812,0.039328,-0.158552,0.144374,0.072685,-0.160472,0.143872,0.042377,-0.161519,0.096908,0.069166,-0.164116,0.09613
89,8.9,0.129498,-0.1072,0.08598,0.005808,-0.114934,0.087501,0.067653,-0.111067,0.086741,0.039181,-0.159612,0.144973,0.07265,-0.161486,0.144008,0.04239,-0.161495,0.097009,0.069627,-0.164258,0.09625
90,9,0.129463,-0.106951,0.086059,0.005767,-0.114977,0.087495,0.067615,-0.110964,0.086777,0.039203,-0.159518,0.144473,0.072671,-0.160389,0.143953,0.042374,-0.161447,0.096981,0.069128,-0.164108,0.096685
91,9.1,0.129445,-0.10698,0.085893,0.005841,-0.114268,0.087513,0.067643,-0.110624,0.086703,0.03926,-0.158518,0.144354,0.072616,-0.160452,0.143848,0.042301,-0.16148,0.096887,0.069535,-0.164263,0.096114
92,9.2,0.129484,-0.106718,0.085996,0.005915,-0.114144,0.08759,0.0677,-0.110431,0.086793,0.038783,-0.159364,0.144441,0.072262,-0.160241,0.143914,0.04249,-0.160439,0.09704,0.069624,-0.164241,0.096191
93,9.3,0.129549,-0.107576,0.085875,0.005849,-0.114565,0.087476,0.067699,-0.111071,0.086676,0.037724,-0.16021,0.144856,0.071777,-0.159214,0.144728,0.042329,-0.161605,0.097372,0.0696,-0.164314,0.096118
94,9.4,0.129479,-0.106968,0.08603,0.0057,-0.11502,0.087476,0.06759,-0.110994,0.086753,0.036322,-0.163108,0.146392,0.070844,-0.158316,0.145209,0.042398,-0.160482,0.097495,0.069085,-0.164115,0.096636
95,9.5,0.129506,-0.107763,0.085872,0.005798,-0.114593,0.087493,0.067652,-0.111178,0.086682,0.035877,-0.162934,0.146377,0.070407,-0.15667,0.14606,0.04229,-0.16152,0.097409,0.069079,-0.164124,0.096624
