Frame,Time (Seconds),Raw COM2,Position
0,0.0000,,
1,0.1000,,
2,0.2000,,
3,0.3000,,
4,0.4000,,
5,0.5000,,
6,0.6000,,
7,0.7000,,
8,0.8000,,
9,0.9000,,
10,1.0000,,
11,1.1000,,
12,1.2000,,
13,1.3000,,
14,1.4000,,
15,1.5000,,
16,1.6000,,
17,1.7000,,
18,1.8000,,
19,1.9000,,
20,2.0000,,
21,2.1000,,
22,2.2000,,
23,2.3000,,
24,2.4000,,
25,2.5000,,
26,2.6000,,
27,2.7000,,
28,2.8000,,
29,2.9000,,
30,3.0000,,
31,3.1000,,
32,3.2000,,
33,3.3000,,
34,3.4000,,
35,3.5000,,
36,3.6000,,
37,3.7000,,
38,3.8000,,
39,3.9000,,
40,4.0000,,
41,4.1000,,
42,4.2000,,
43,4.3000,,
44,4.4000,,
45,4.5000,,
46,4.6000,,
47,4.7000,,
48,4.8000,,
49,4.9000,,
50,5.0000,,
51,5.1000,,
52,5.2000,,
53,5.3000,,
54,5.4000,,
55,5.5000,,
56,5.6000,,
57,5.7000,,
58,5.8000,,
59,5.9000,,
60,6.0000,,
61,6.1000,,
62,6.2000,,
63,6.3000,,
64,6.4000,,
65,6.5000,,
66,6.6000,,
67,6.7000,,
68,6.8000,,
69,6.9000,,
70,7.0000,,
71,7.1000,,
72,7.2000,,
73,7.3000,,
74,7.4000,,
75,7.5000,,
76,7.6000,,
77,7.7000,,
78,7.8000,,
79,7.9000,,
80,8.0000,,
81,8.1000,,
82,8.2000,,
83,8.3000,,
84,8.4000,,
85,8.5000,,
86,8.6000,,
87,8.7000,,
88,8.8000,,
89,8.9000,,
90,9.0000,,
91,9.1000,,
92,9.2000,,
93,9.3000,,
94,9.4000,,
95,9.5000,,
96,9.6000,,
97,9.7000,,
98,9.8000,,
99,9.9000,,
100,10.0000,,
101,10.1000,,
102,10.2000,,
103,10.3000,,
104,10.4000,,
105,10.5000,,
106,10.6000,,
107,10.7000,,
108,10.8000,,
109,10.9000,,
110,11.0000,,
111,11.1000,,
112,11.2000,,
113,11.3000,,
114,11.4000,,
115,11.5000,,
116,11.6000,,
117,11.7000,,
118,11.8000,,
119,11.9000,,
120,12.0000,,
121,12.1000,,
122,12.2000,,
123,12.3000,,
124,12.4000,,
125,12.5000,,
126,12.6000,,
127,12.7000,,
128,12.8000,,
129,12.9000,,
130,13.0000,,
131,13.1000,,
132,13.2000,,
133,13.3000,,
134,13.4000,,
135,13.5000,,
136,13.6000,,
137,13.7000,,
138,13.8000,,
139,13.9000,,
140,14.0000,,
141,14.1000,,
142,14.2000,,
143,14.3000,,
144,14.4000,,
145,14.5000,,
146,14.6000,,
147,14.7000,,
148,14.8000,,
149,14.9000,,
150,15.0000,,
151,15.1000,,
152,15.2000,,
153,15.3000,,
154,15.4000,,
155,15.5000,,
156,15.6000,,
157,15.7000,,
158,15.8000,,
159,15.9000,,
160,16.0000,,
161,16.1000,,
162,16.2000,,
163,16.3000,,
164,16.4000,,
165,16.5000,,
166,16.6000,,
167,16.7000,,
168,16.8000,,
169,16.9000,,
170,17.0000,,
171,17.1000,,
172,17.2000,,
173,17.3000,,
174,17.4000,,
175,17.5000,,
176,17.6000,,
177,17.7000,,
178,17.8000,,
179,17.9000,,
180,18.0000,,
181,18.1000,,
182,18.2000,,
183,18.3000,,
184,18.4000,,
185,18.5000,,
186,18.6000,,
187,18.7000,,
188,18.8000,,
189,18.9000,,
190,19.0000,,
191,19.1000,,
192,19.2000,,
193,19.3000,,
194,19.4000,,
195,19.5000,,
196,19.6000,,
197,19.7000,,
198,19.8000,,
199,19.9000,,
200,20.0000,,
201,20.1000,,
202,20.2000,,
203,20.3000,,
204,20.4000,,
205,20.5000,,
206,20.6000,,
207,20.7000,,
208,20.8000,,
209,20.9000,,
210,21.0000,,
211,21.1000,,
212,21.2000,,
213,21.3000,,
214,21.4000,,
215,21.5000,,
216,21.6000,,
217,21.7000,,
218,21.8000,,
219,21.9000,,
220,22.0000,,
221,22.1000,,
222,22.2000,,
223,22.3000,,
224,22.4000,,
225,22.5000,,
226,22.6000,,
227,22.7000,,
228,22.8000,,
229,22.9000,,
230,23.0000,,
231,23.1000,,
232,23.2000,,
233,23.3000,,
234,23.4000,,
235,23.5000,,
236,23.6000,,
237,23.7000,,
238,23.8000,,
239,23.9000,,
240,24.0000,,
241,24.1000,,
242,24.2000,,
243,24.3000,,
244,24.4000,,
245,24.5000,,
246,24.6000,,
247,24.7000,,
248,24.8000,,
249,24.9000,,
250,25.0000,,
251,25.1000,,
252,25.2000,,
253,25.3000,,
254,25.4000,,
255,25.5000,,
256,25.6000,,
257,25.7000,,
258,25.8000,,
259,25.9000,,
260,26.0000,,
261,26.1000,,
262,26.2000,,
263,26.3000,,
264,26.4000,,
265,26.5000,,
266,26.6000,,
267,26.7000,,
268,26.8000,,
269,26.9000,,
270,27.0000,,
271,27.1000,,
272,27.2000,,
273,27.3000,,
274,27.4000,,
275,27.5000,,
276,27.6000,,
277,27.7000,,
278,27.8000,,
279,27.9000,,
280,28.0000,,
281,28.1000,,
282,28.2000,,
283,28.3000,,
284,28.4000,,
285,28.5000,,
286,28.6000,,
287,28.7000,,
288,28.8000,,
289,28.9000,,
290,29.0000,,
291,29.1000,,
292,29.2000,,
293,29.3000,,
294,29.4000,,
295,29.5000,,
296,29.6000,,
297,29.7000,,
298,29.8000,,
299,29.9000,,
300,30.0000,,
301,30.1000,,
302,30.2000,,
303,30.3000,,
304,30.4000,,
305,30.5000,,
306,30.6000,,
307,30.7000,,
308,30.8000,,
309,30.9000,,
310,31.0000,,
311,31.1000,,
312,31.2000,,
313,31.3000,,
314,31.4000,,
315,31.5000,,
316,31.6000,,
317,31.7000,,
318,31.8000,,
319,31.9000,,
320,32.0000,,
321,32.1000,,
322,32.2000,,
323,32.3000,,
324,32.4000,,
325,32.5000,,
326,32.6000,,
327,32.7000,,
328,32.8000,,
329,32.9000,,
330,33.0000,,
331,33.1000,,
332,33.2000,,
333,33.3000,,
334,33.4000,,
335,33.5000,,
336,33.6000,,
337,33.7000,,
338,33.8000,,
339,33.9000,,
340,34.0000,,
341,34.1000,,
342,34.2000,,
343,34.3000,,
344,34.4000,,
345,34.5000,,
346,34.6000,,
347,34.7000,,
348,34.8000,,
349,34.9000,,
350,35.0000,,
351,35.1000,,
352,35.2000,,
353,35.3000,,
354,35.4000,,
355,35.5000,,
356,35.6000,,
357,35.7000,,
358,35.8000,,
359,35.9000,,
360,36.0000,,
361,36.1000,,
362,36.2000,,
363,36.3000,,
364,36.4000,,
365,36.5000,,
366,36.6000,,
367,36.7000,,
368,36.8000,,
369,36.9000,,
370,37.0000,,
371,37.1000,,
372,37.2000,,
373,37.3000,,
374,37.4000,,
375,37.5000,,
376,37.6000,,
377,37.7000,,
378,37.8000,,
379,37.9000,,
380,38.0000,,
381,38.1000,,
382,38.2000,,
383,38.3000,,
384,38.4000,,
385,38.5000,,
386,38.6000,,
387,38.7000,,
388,38.8000,,
389,38.9000,,
390,39.0000,,
391,39.1000,,
392,39.2000,,
393,39.3000,,
394,39.4000,,
395,39.5000,,
396,39.6000,,
397,39.7000,,
398,39.8000,,
399,39.9000,,
400,40.0000,,
401,40.1000,,
402,40.2000,,
403,40.3000,,
404,40.4000,,
405,40.5000,,
406,40.6000,,
407,40.7000,,
408,40.8000,,
409,40.9000,,
410,41.0000,,
411,41.1000,,
412,41.2000,,
413,41.3000,,
414,41.4000,,
415,41.5000,,
416,41.6000,,
417,41.7000,,
418,41.8000,,
419,41.9000,,
420,42.0000,,
421,42.1000,,
422,42.2000,,
423,42.3000,,
424,42.4000,,
425,42.5000,,
426,42.6000,,
427,42.7000,,
428,42.8000,,
429,42.9000,,
